,Date,Unix,Ticker,DE Ratio,Price,stock_p_change,SP500,sp500_p_change,Difference
0,2004-01-30 19:01:02,1075469462.0,a,0.407,36.65,0.0,1131.130005,0.0,0.0
1,2004-04-13 04:07:11,1081809431.0,a,0.375,31.87,-13.0422919509,1129.439941,-0.149413771408,-12.8928781795
2,2004-12-13 21:37:34,1102954054.0,a,0.323,23.84,-34.9522510232,1198.680054,5.97190850755,-40.9241595307
3,2005-01-22 05:17:19,1106351239.0,a,0.322,21.8,-40.5184174625,1184.630005,4.72978346994,-45.2482009324
4,2006-01-09 02:35:16,1136754316.0,a,0.0,34.65,-5.45702592087,1290.150024,14.0585094814,-19.5155354023
5,2006-06-21 11:01:16,1150867876.0,a,0.368,32.18,-12.1964529332,1252.199951,10.7034510149,-22.8999039481
6,2006-08-19 10:42:01,1155964321.0,a,0.396,31.8,-13.2332878581,1295.430054,14.5253019789,-27.758589837
7,2007-02-20 17:46:56,1171973816.0,a,0.411,32.48,-11.377899045,1459.680054,29.0461792674,-40.4240783125
8,2007-04-12 05:07:51,1176334671.0,a,0.411,34.62,-5.53888130969,1447.800049,27.9959016736,-33.5347829833
9,2008-01-23 19:28:50,1201096730.0,a,0.645,32.16,-12.2510231924,1338.599976,18.3418325111,-30.5928557035
10,2008-02-14 04:44:34,1202944474.0,a,0.645,32.68,-10.8321964529,1348.859985,19.248890847,-30.0810872999
11,2008-04-26 04:49:23,1209165563.0,a,0.67,31.53,-13.9699863574,1379.930054,21.9957076464,-35.9656940038
12,2008-12-06 19:21:33,1228571493.0,a,0.83,17.26,-52.9058663029,870.73999,-23.0203437137,-29.8855225891
13,2004-04-13 04:20:10,1081810210.0,aa,0.595,34.26,0.0,1129.439941,0.0,0.0
14,2004-09-09 16:15:45,1094726745.0,aa,0.561,32.89,-3.99883245768,1118.380005,-0.979240736803,-3.01959172087
15,2004-11-24 10:37:20,1101272840.0,aa,0.53,33.58,-1.9848219498,1181.76001,4.63239054161,-6.6172124914
16,2004-12-05 00:36:42,1102187202.0,aa,0.53,32.86,-4.08639813193,1190.329956,5.39116891387,-9.4775670458
17,2005-01-13 07:18:32,1105580912.0,aa,0.457,29.43,-14.0980735552,1177.449951,4.25078025464,-18.3488538098
18,2005-02-07 03:48:37,1107728317.0,aa,0.457,29.37,-14.2732049037,1201.719971,6.39963466636,-20.67283957
19,2005-05-22 08:48:23,1116731903.0,aa,0.543,27.45,-19.877408056,1191.079956,5.45757350722,-25.3349815633
20,2006-06-20 04:32:21,1150758141.0,aa,0.526,29.1,-15.061295972,1240.119995,9.79955197104,-24.860847943
21,2007-01-25 19:09:37,1169732377.0,aa,0.494,31.46,-8.17279626386,1423.900024,26.0713360942,-34.244132358
22,2007-02-23 09:03:42,1172201622.0,aa,0.494,34.75,1.43023934618,1451.189941,28.4875705489,-27.0573312027
23,2007-05-16 21:12:47,1179330167.0,aa,0.494,39.04,13.9521307647,1514.140015,34.0611359697,-20.109005205
24,2007-06-22 06:39:12,1182474552.0,aa,0.503,40.34,17.7466433158,1502.560059,33.035852944,-15.2892096282
25,2007-10-11 20:57:59,1192116479.0,aa,0.47,38.08,11.1500291886,1554.410034,37.6266216178,-26.4765924292
26,2008-01-23 16:05:53,1201084553.0,aa,0.499,28.04,-18.155283129,1338.599976,18.5189160935,-36.6741992225
27,2008-10-28 00:52:22,1225135342.0,aa,0.672,9.04,-73.613543491,940.51001,-16.727753654,-56.885789837
28,2008-12-05 01:03:15,1228419195.0,aa,0.672,8.06,-76.4740221833,876.070007,-22.4332365806,-54.0407856027
29,2008-12-06 09:33:46,1228536226.0,aa,0.672,8.15,-76.2113251605,870.73999,-22.9051533958,-53.3061717647
30,2008-12-18 10:54:07,1229577847.0,aa,0.672,10.35,-69.7898423818,885.280029,-21.6177862263,-48.1720561555
31,2003-12-07 10:36:10,1070773570.0,aapl,0.072,20.85,0.0,1069.719971,0.0,0.0
32,2004-02-03 07:33:34,1075773814.0,aapl,0.07,22.32,7.05035971223,1136.030029,6.19882397241,0.851535739821
33,2004-06-03 01:20:38,1086205838.0,aapl,0.0,28.92,38.7050359712,1116.640015,4.38619875033,34.3188372209
34,2004-08-10 02:02:44,1092083564.0,aapl,0.0,30.3,45.3237410072,1079.040039,0.871262410039,44.4524785972
35,2004-10-12 05:40:57,1097539857.0,aapl,0.0,38.59,85.0839328537,1121.839966,4.87230269724,80.2116301565
36,2004-12-04 14:16:51,1102150011.0,aapl,0.0,62.68,200.623501199,1191.369995,11.3721373161,189.251363883
37,2005-01-26 15:16:47,1106732807.0,aapl,0.0,71.94,245.035971223,1174.069946,9.75488705726,235.281084166
38,2005-02-04 03:07:08,1107466628.0,aapl,0.0,77.81,273.189448441,1203.030029,12.4621453851,260.727303056
39,2005-03-01 10:36:03,1109653563.0,aapl,0.0,44.86,115.1558753,1210.410034,13.1520460321,102.003829268
40,2005-12-17 11:55:53,1134800753.0,aapl,0.0,71.11,241.055155875,1272.73999,18.9788004809,222.076355394
41,2006-01-25 09:43:52,1138162432.0,aapl,0.0,76.04,264.700239808,1264.680054,18.225338246,246.474901562
