,Date,Unix,Ticker,DE Ratio
0,2004-01-30 19:01:02,1075469462.0,a,0.407
1,2004-04-13 04:07:11,1081809431.0,a,0.375
2,2004-12-13 21:37:34,1102954054.0,a,0.323
3,2005-01-22 05:17:19,1106351239.0,a,0.322
4,2006-01-09 02:35:16,1136754316.0,a,0.0
5,2006-06-21 11:01:16,1150867876.0,a,0.368
6,2006-08-19 10:42:01,1155964321.0,a,0.396
7,2007-02-20 17:46:56,1171973816.0,a,0.411
8,2007-04-12 05:07:51,1176334671.0,a,0.411
9,2008-01-23 19:28:50,1201096730.0,a,0.645
10,2008-02-14 04:44:34,1202944474.0,a,0.645
11,2008-04-26 04:49:23,1209165563.0,a,0.67
12,2008-12-06 19:21:33,1228571493.0,a,0.83
13,2011-08-02 06:45:37,1312247737.0,a,54.36
14,2011-11-08 05:04:16,1320708856.0,a,51.62
15,2013-05-14 00:28:58,1368471538.0,a,44.12
16,2013-09-06 06:09:52,1378427992.0,a,56.39
17,2004-04-13 04:20:10,1081810210.0,aa,0.595
18,2004-09-09 16:15:45,1094726745.0,aa,0.561
19,2004-11-24 10:37:20,1101272840.0,aa,0.53
20,2004-12-05 00:36:42,1102187202.0,aa,0.53
21,2005-01-13 07:18:32,1105580912.0,aa,0.457
22,2005-02-07 03:48:37,1107728317.0,aa,0.457
23,2005-05-22 08:48:23,1116731903.0,aa,0.543
24,2006-06-20 04:32:21,1150758141.0,aa,0.526
25,2007-01-25 19:09:37,1169732377.0,aa,0.494
26,2007-02-23 09:03:42,1172201622.0,aa,0.494
27,2007-05-16 21:12:47,1179330167.0,aa,0.494
28,2007-06-22 06:39:12,1182474552.0,aa,0.503
29,2007-10-11 20:57:59,1192116479.0,aa,0.47
30,2008-01-23 16:05:53,1201084553.0,aa,0.499
31,2008-10-28 00:52:22,1225135342.0,aa,0.672
32,2008-12-05 01:03:15,1228419195.0,aa,0.672
33,2008-12-06 09:33:46,1228536226.0,aa,0.672
34,2008-12-18 10:54:07,1229577847.0,aa,0.672
35,2011-09-03 09:21:23,1315021883.0,aa,48.26
36,2011-11-02 22:04:47,1320251687.0,aa,50.93
37,2011-11-05 21:29:24,1320508764.0,aa,50.93
38,2012-01-02 19:42:06,1325513526.0,aa,50.93
39,2012-03-09 07:34:06,1331258646.0,aa,54.5
40,2012-03-19 02:24:48,1332104088.0,aa,54.5
41,2012-05-19 11:51:52,1337408512.0,aa,55.28
42,2012-07-29 16:51:57,1343560917.0,aa,56.42
43,2012-11-27 11:38:14,1353996494.0,aa,56.51
44,2013-01-22 17:52:37,1358857357.0,aa,53.49
45,2013-04-23 20:02:57,1366727577.0,aa,53.21
46,2013-04-26 20:55:15,1366989915.0,aa,53.21
47,2013-09-01 04:25:11,1377989711.0,aa,52.71
48,2003-12-07 10:36:10,1070773570.0,aapl,0.072
49,2004-02-03 07:33:34,1075773814.0,aapl,0.07
50,2004-06-03 01:20:38,1086205838.0,aapl,0.0
51,2004-08-10 02:02:44,1092083564.0,aapl,0.0
52,2004-10-12 05:40:57,1097539857.0,aapl,0.0
53,2004-12-04 14:16:51,1102150011.0,aapl,0.0
54,2005-01-26 15:16:47,1106732807.0,aapl,0.0
55,2005-02-04 03:07:08,1107466628.0,aapl,0.0
56,2005-03-01 10:36:03,1109653563.0,aapl,0.0
57,2005-12-17 11:55:53,1134800753.0,aapl,0.0
58,2006-01-25 09:43:52,1138162432.0,aapl,0.0
59,2013-08-11 02:30:32,1376168432.0,aapl,13.75
60,2013-06-19 09:57:38,1371616058.0,abbv,512.61
61,2003-10-26 16:06:32,1067164592.0,abc,0.592
62,2004-01-28 07:37:34,1075255654.0,abc,0.429
63,2004-05-16 19:24:15,1084715655.0,abc,0.412
64,2004-10-20 01:31:26,1098216086.0,abc,0.331
65,2005-01-08 07:45:42,1105150542.0,abc,0.332
66,2005-03-30 19:52:42,1112192562.0,abc,0.291
67,2005-05-26 01:50:44,1117052444.0,abc,0.23
68,2005-12-04 08:46:13,1133666173.0,abc,0.223
69,2007-02-20 06:12:02,1171932122.0,abc,0.308
70,2007-04-05 16:11:07,1175769667.0,abc,0.308
71,2008-01-23 20:34:05,1201100645.0,abc,0.396
72,2011-07-08 00:04:15,1310063655.0,abc,42.86
73,2012-02-28 18:01:38,1330432298.0,abc,66.41
74,2013-04-25 01:02:00,1366831920.0,abc,59.73
75,2004-09-20 13:31:02,1095667262.0,abt,0.543
76,2004-10-23 22:48:08,1098551888.0,abt,0.543
77,2005-01-25 12:44:11,1106637251.0,abt,0.508
78,2005-02-28 19:21:54,1109598714.0,abt,0.508
79,2006-06-17 18:01:01,1150547461.0,abt,0.436
80,2006-07-18 12:32:14,1153206134.0,abt,0.436
81,2007-01-13 21:19:42,1168703382.0,abt,0.604
82,2007-03-23 02:47:40,1174598260.0,abt,0.883
83,2007-04-10 20:13:09,1176216189.0,abt,0.883
84,2007-06-03 02:36:35,1180818395.0,abt,0.871
85,2007-07-04 07:59:19,1183516159.0,abt,0.871
86,2008-01-23 23:41:45,1201111905.0,abt,0.784
87,2008-04-28 03:46:55,1209334615.0,abt,0.687
88,2008-10-23 21:57:42,1224779262.0,abt,0.732
89,2008-12-25 05:30:56,1230163256.0,abt,0.546
90,2011-08-05 04:11:33,1312497693.0,abt,76.17
91,2011-09-02 09:24:27,1314935667.0,abt,68.83
92,2011-11-02 06:21:21,1320195081.0,abt,68.83
93,2012-01-01 23:13:40,1325439820.0,abt,67.73
94,2012-03-02 20:56:30,1330701990.0,abt,62.85
95,2012-03-30 05:44:15,1333066455.0,abt,62.85
96,2012-07-04 23:46:24,1341425784.0,abt,65.17
97,2013-05-08 18:10:02,1368016802.0,abt,76.36
98,2013-08-18 07:12:45,1376790165.0,abt,35.38
99,2004-08-16 22:53:27,1092677007.0,ace,0.26
100,2004-10-10 11:27:42,1097387862.0,ace,0.26
101,2005-01-13 13:27:29,1105603049.0,ace,0.21
102,2007-02-20 18:32:05,1171976525.0,ace,0.171
103,2007-04-05 15:54:06,1175768646.0,ace,0.171
104,2008-01-23 21:48:58,1201105138.0,ace,0.154
105,2010-12-07 07:29:30,1291687170.0,ace,23.09
106,2011-08-11 20:49:00,1313075940.0,ace,27.7
107,2013-04-23 04:24:03,1366671243.0,ace,24.94
108,2013-05-16 15:08:57,1368697137.0,ace,27.94
109,2003-12-15 23:12:24,1071510144.0,aci,1.074
110,2005-01-24 04:33:07,1106521387.0,aci,1.18
111,2005-02-05 03:36:51,1107554811.0,aci,1.18
112,2005-03-30 06:50:28,1112145628.0,aci,0.936
113,2006-05-24 04:17:01,1148424421.0,aci,0.854
114,2007-03-11 21:41:07,1173629467.0,aci,0.86
115,2007-04-07 18:52:27,1175952147.0,aci,0.86
116,2008-03-02 17:50:27,1204460427.0,aci,0.851
117,2008-06-05 02:23:56,1212612836.0,aci,0.899
118,2008-10-08 20:51:28,1223479288.0,aci,0.772
119,2008-12-05 05:35:57,1228435557.0,aci,0.767
120,2011-08-18 01:16:41,1313610401.0,aci,118.77
121,2012-07-26 21:31:10,1343318470.0,aci,113.56
122,2012-11-04 10:32:06,1352005326.0,aci,144.73
123,2013-04-23 05:25:15,1366674915.0,aci,179.32
124,2013-04-25 06:05:53,1366850153.0,aci,179.32
125,2003-11-08 10:24:47,1068267287.0,acn,0.076
126,2004-11-28 23:13:49,1101663829.0,acn,0.023
127,2004-12-10 06:26:24,1102640184.0,acn,0.023
128,2005-02-10 03:10:56,1107985256.0,acn,0.023
129,2005-04-04 05:07:40,1112571460.0,acn,0.023
130,2005-09-04 02:06:58,1125779818.0,acn,0.04
131,2006-06-03 23:44:14,1149358454.0,acn,0.045
132,2006-08-22 00:50:41,1156188041.0,acn,0.034
133,2006-08-22 06:44:05,1156209245.0,acn,0.034
134,2006-08-27 03:22:58,1156629178.0,acn,0.034
135,2006-11-02 16:40:55,1162465855.0,acn,0.027
136,2006-11-11 01:01:42,1163187102.0,acn,0.027
137,2006-12-03 00:17:12,1165085232.0,acn,0.027
138,2007-03-14 19:10:39,1173879639.0,acn,0.018
139,2007-05-05 07:47:14,1178331434.0,acn,0.015
140,2007-06-05 04:17:34,1180997254.0,acn,0.015
141,2007-07-06 07:06:36,1183685796.0,acn,0.015
142,2008-04-07 01:42:51,1207512771.0,acn,0.004
143,2008-10-18 23:21:07,1224352267.0,acn,0.003
144,2008-12-02 16:28:13,1228215493.0,acn,0.003
145,2008-12-21 20:10:46,1229870446.0,acn,0.001
146,2011-09-01 16:51:37,1314876097.0,acn,0.11
147,2011-11-08 00:40:19,1320693019.0,acn,0.1
148,2012-02-29 00:47:01,1330456621.0,acn,0.15
149,2012-11-04 02:11:28,1351975288.0,acn,0.0
150,2013-04-23 04:45:22,1366672522.0,acn,0.0
151,2013-05-10 03:17:29,1368136049.0,acn,0.0
